Address of main() function: 00E312F8
Address of global var: 00E3B140
Address of local var in main(): 0038F6B8
Address of static local variable: 00E3B150
Addr of local variables (in recursive level 1370): auto_y: 002B29CC,  static_y: 00E3B154, dynamicArray: 007FC800, memory usage (2277376), memory increment (   4096)
Addr of local variables (in recursive level 1380): auto_y: 002B1004,  static_y: 00E3B154, dynamicArray: 007FD9D0, memory usage (2285568), memory increment (   8192)
Addr of local variables (in recursive level 1390): auto_y: 002AF63C,  static_y: 00E3B154, dynamicArray: 007FEBA0, memory usage (2289664), memory increment (   4096)
Addr of local variables (in recursive level 1400): auto_y: 002ADC74,  static_y: 00E3B154, dynamicArray: 007FFD70, memory usage (2297856), memory increment (   8192)
Addr of local variables (in recursive level 1410): auto_y: 002AC2AC,  static_y: 00E3B154, dynamicArray: 00800F40, memory usage (2306048), memory increment (   8192)
Addr of local variables (in recursive level 1420): auto_y: 002AA8E4,  static_y: 00E3B154, dynamicArray: 00802110, memory usage (2310144), memory increment (   4096)
Addr of local variables (in recursive level 1430): auto_y: 002A8F1C,  static_y: 00E3B154, dynamicArray: 008032E0, memory usage (2318336), memory increment (   8192)
Addr of local variables (in recursive level 1440): auto_y: 002A7554,  static_y: 00E3B154, dynamicArray: 008044B0, memory usage (2326528), memory increment (   8192)
Addr of local variables (in recursive level 1450): auto_y: 002A5B8C,  static_y: 00E3B154, dynamicArray: 00805680, memory usage (2330624), memory increment (   4096)
Addr of local variables (in recursive level 1460): auto_y: 002A41C4,  static_y: 00E3B154, dynamicArray: 00806850, memory usage (2338816), memory increment (   8192)
Addr of local variables (in recursive level 1470): auto_y: 002A27FC,  static_y: 00E3B154, dynamicArray: 00807A20, memory usage (2342912), memory increment (   4096)
Addr of local variables (in recursive level 1480): auto_y: 002A0E34,  static_y: 00E3B154, dynamicArray: 00808D38, memory usage (2416640), memory increment (  73728)
Addr of local variables (in recursive level 1490): auto_y: 0029F46C,  static_y: 00E3B154, dynamicArray: 00809F08, memory usage (2424832), memory increment (   8192)
Addr of local variables (in recursive level 1500): auto_y: 0029DAA4,  static_y: 00E3B154, dynamicArray: 0080B0D8, memory usage (2428928), memory increment (   4096)
Addr of local variables (in recursive level 1510): auto_y: 0029C0DC,  static_y: 00E3B154, dynamicArray: 0080C2A8, memory usage (2437120), memory increment (   8192)
Addr of local variables (in recursive level 1520): auto_y: 0029A714,  static_y: 00E3B154, dynamicArray: 0080D478, memory usage (2441216), memory increment (   4096)
Addr of local variables (in recursive level 1530): auto_y: 00298D4C,  static_y: 00E3B154, dynamicArray: 0080E648, memory usage (2449408), memory increment (   8192)
Addr of local variables (in recursive level 1540): auto_y: 00297384,  static_y: 00E3B154, dynamicArray: 0080F818, memory usage (2457600), memory increment (   8192)
